squint,"('👁', 6.266089190457772)"
corn,"('🌽', 6.266089190457772)"
lamo,"('😂', 0.2)"
yeees,"('🍆', 7.715699838284043)"
wanna,"('💧', 5.007354922057604)"
drown,"('🌊', 5.007354922057604)"
reply,"('📝', 1.784962500721156)"
retard,"('😤', 1.784962500721156)"
angelo,"('🗿', 6.954887502163468)"
th,"('👌', 17.853496664211537)"
ere,"('✔', 20.053496664211536)"
selｆ,"('💯', 13.121928094887362)"
exclusive,"('😭', 7.165784284662088)"
enemy,"('👿', 6.266089190457772)"
stando,"('👻', 6.266089190457772)"
french,"('🇫🇷', 9.162242424221072)"
class,"('📚', 5.592317422778762)"
because,"('➡', 5.592317422778762)"
teacher,"('👨🏻\u200d🏫', 5.592317422778762)"
biggest,"('👐🏻', 5.592317422778762)"
low,"('⬇', 5.592317422778762)"
key,"('🔑', 5.592317422778762)"
watching,"('🤓', 5.592317422778762)"
humongous,"('👐🏻', 5.592317422778762)"
hour,"('⏱', 5.592317422778762)"
student,"('👨\u200d🎓', 1.784962500721156)"
confirm,"('✅', 1.784962500721156)"
dicks,"('🍆', 1.784962500721156)"
tbh,"('😣', 4.7235619560570115)"
zoo,"('🅱', 3.3699250014423123)"
fucked,"('🤤', 3.9004397181410932)"
hard,"('😤', 3.9004397181410932)"
yes,"('👍', 3.9004397181410932)"
cocktober,"('🍆', 35.710872434219766)"
means,"('👀', 32.66647831486131)"
month,"('😯', 29.466478314861313)"
hoes,"('👭', 25.773987349835707)"
queen,"('👸🏿', 12.907200809140804)"
thottiest,"('🍆', 20.566632427778103)"
thots,"('💁🏿', 12.907200809140804)"
prepared,"('🙍🏿', 12.907200809140804)"
luck,"('⚠', 20.566632427778103)"
brilliant,"('🔴', 6.244394119358454)"
heard,"('👯', 6.244394119358454)"
before,"('⬅', 6.244394119358454)"
surely,"('👍🏿', 6.244394119358454)"
meme,"('❤', 6.244394119358454)"
sub,"('👊', 4.287462841250339)"
entertained,"('🙈', 4.287462841250339)"
messy,"('💦', 6.799912842187128)"
work,"('👷🏽\u200d♂️', 4.6594316186372975)"
pc,"('💻', 4.6594316186372975)"
either,"('🤷🏿\u200d♀️', 4.6594316186372975)"
spotlight,"('💡', 9.072425341971496)"
moonlight,"('🌚', 7.2874628412503375)"
uh,"('✊🏿', 7.2874628412503375)"
shawty,"('😏', 7.2874628412503375)"
look,"('👁', 17.825734641422557)"
these,"('👅', 7.2874628412503375)"
niggas,"('👩🏿', 7.2874628412503375)"
mind,"('\U0001f92f', 7.2874628412503375)"
dropping,"('↙', 2.7849625007211563)"
heat,"('🔥', 2.7849625007211563)"
thug,"('🔫', 6.609390936137703)"
much,"('\U0001f970', 6.609390936137703)"
gatar,"('😔', 2.2)"
shine,"('💡', 2.2)"
above,"('🔝', 2.2)"
bless,"('🙏', 2.2)"
light,"('💡', 2.2)"
artist,"('🎨', 7.165784284662088)"
diver,"('🌊', 7.165784284662088)"
absolutely,"('😘', 7.165784284662088)"
adventure,"('😊', 7.165784284662088)"
bet,"('💸', 4.2)"
side,"('💵', 4.2)"
hustle,"('💰', 4.2)"
pyramid,"('🎲', 4.2)"
scheme,"('📉', 4.2)"
such,"('😩', 7.754588851677637)"
spirit,"('🤗', 7.754588851677637)"
sail,"('⛵', 6.754588851677637)"
candles,"('🕯', 1.784962500721156)"
makeup,"('💅', 1.784962500721156)"
or,"('🔪', 1.784962500721156)"
did,"('⁉', 0.2)"
essential,"('💯', 0.2)"
oils,"('💦', 0.2)"
cure,"('💫', 0.2)"
autism,"('\U0001f9e0', 0.2)"
keep,"('♿', 6.2874628412503375)"
harrassing,"('🤠', 6.2874628412503375)"
stop,"('🚫', 12.225753832883115)"
dare,"('👻', 4.592317422778762)"
eat,"('👌', 6.968184324776926)"
fish,"('🐟', 6.968184324776926)"
after,"('😶', 6.968184324776926)"
water,"('🍺', 6.968184324776926)"
bc,"('😰', 6.968184324776926)"
stomach,"('😮', 6.968184324776926)"
feel,"('😕', 6.968184324776926)"
gulugulu,"('💦', 20.22643984969404)"
asshole,"('🍑', 7.609390936137703)"
from,"('➡', 6.308524456778168)"
into,"('👉', 6.921928094887364)"
masters,"('👸', 5.592317422778762)"
challenge,"('👀', 5.592317422778762)"
bell,"('😷', 5.592317422778762)"
fill,"('🆙', 16.77695226833628)"
application,"('📄', 5.592317422778762)"
kfc,"('🍗', 5.592317422778762)"
hi,"('👋', 5.592317422778762)"
hiring,"('💵', 5.592317422778762)"
momentarily,"('⛽', 5.592317422778762)"
pizza,"('🍕', 14.332167425663386)"
hut,"('🏠', 5.592317422778762)"
drivers,"('🍕', 5.592317422778762)"
today,"('✈', 5.592317422778762)"
burger,"('🍔', 5.592317422778762)"
king,"('👑', 5.592317422778762)"
fantastic,"('🙌', 5.592317422778762)"
bankteller,"('👩', 6.177279923499918)"
says,"('👀', 6.177279923499918)"
ones,"('💲', 6.177279923499918)"
lot,"('😉', 6.177279923499918)"
said,"('👀', 6.177279923499918)"
oh,"('\U0001f928', 6.177279923499918)"
dollar,"('🙉', 6.177279923499918)"
other,"('😐', 6.177279923499918)"
around,"('🍆', 6.177279923499918)"
sucking,"('🔥', 6.177279923499918)"
behind,"('\U0001f928', 6.177279923499918)"
rude,"('🙅\u200d♀️', 6.177279923499918)"
ask,"('😥', 6.177279923499918)"
kind,"('😴', 6.177279923499918)"
none,"('❓', 6.177279923499918)"
motherfucking,"('👏', 6.177279923499918)"
years,"('💦', 6.177279923499918)"
make,"('🤔', 6.177279923499918)"
worry,"('😳', 6.177279923499918)"
bringing,"('❓', 6.177279923499918)"
oop,"('😮', 4.8438561897747245)"
juicy,"('👅', 3.784962500721156)"
find,"('🔍', 3.784962500721156)"
pussies,"('😼', 3.784962500721156)"
tap,"('🔨', 3.784962500721156)"
stank,"('😷', 3.784962500721156)"
wash,"('😬', 3.784962500721156)"
time,"('🕓', 3.784962500721156)"
diving,"('🏊', 3.784962500721156)"
deep,"('⬇', 3.784962500721156)"
married,"('💍', 3.784962500721156)"
old,"('👦🏾', 3.784962500721156)"
fact,"('🤔', 3.784962500721156)"
